symbol,timeframe,decision,side,score,reasons,entry_price,stop_loss,take_profit,reward_risk,strategy_version,triangle_type,open_time
BTC,1h,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-v1,,
BTC,1h,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-v1,,
BTC,1h,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-v1,,
BTC,1h,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-v1,,
BTC,1h,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-v1,,
BTC,1h,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-v1,,
BTC,1h,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-v1,,
BTC,1h,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-v1,,
BTC,1h,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-v1,,
BTC,1h,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-v1,,
BTC,1h,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-v1,,
BTC,1h,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-v1,,
BTC,1h,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-v1,,
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1765659600000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1765663200000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1765666800000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1765670400000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1765674000000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1765677600000
BTC,1h,no_setup,,0.0,no confirmed breakout,,,,,triangle-trend-zones-v1,descending,1765681200000
BTC,1h,no_setup,,0.0,no confirmed breakout,,,,,triangle-trend-zones-v1,descending,1765684800000
BTC,1h,no_setup,,0.0,no confirmed breakout,,,,,triangle-trend-zones-v1,descending,1765688400000
BTC,1h,no_setup,,0.0,no confirmed breakout,,,,,triangle-trend-zones-v1,descending,1765692000000
