symbol,timeframe,side,entry_time,entry_price,size,stop_loss,take_profit,exit_time,exit_price,pnl,r_multiple,status,signal_time,strategy_version,triangle_type,risk_amount
BTC,15m,long,1779325200000,77993.9775,0.006666666666666667,77205.0,79455.0,1779358500000,77166.3975,-6.034401249999915,-1.1472572887059447,closed,1779324300000,triangle-trend-zones-v1,descending,5.0
BTC,15m,short,1779523200000,74531.7155,0.004675285036453434,75631.0,72442.0,1779547500000,75668.8155,-5.667381762476989,-1.102717508979702,closed,1779522300000,triangle-trend-zones-v1,descending,4.969827993750001
BTC,15m,short,1779856200000,75433.2645,0.007364368233886164,76141.0,74128.0,1779930900000,74165.064,8.788646887274663,1.6862250597151254,closed,1779855300000,triangle-trend-zones-v1,ascending,4.941491084937616
BTC,15m,short,1779939000000,73669.147,0.005851448731659612,74557.0,72001.0,1780315200000,72037.0005,9.124125541315747,1.7562517964685567,closed,1779938100000,triangle-trend-zones-v1,descending,4.985434319373989
BTC,15m,short,1780348500000,71171.3965,0.01039474162619952,71691.0,70239.0,1780365600000,70274.1195,8.59181778562921,1.5907403279616206,closed,1780347600000,triangle-trend-zones-v1,symmetrical,5.031054947080568
BTC,15m,short,1780457400000,66088.939,0.004911920654413083,67155.0,64056.0,1780462800000,67188.5775,-5.72866135357044,-1.0940061199593636,closed,1780456500000,triangle-trend-zones-v1,descending,5.074014036008714
BTC,15m,short,1780501500000,66249.8585,0.005327741002366274,67230.0,64389.0,1780527600000,64421.1945,9.394557408905905,1.799055007363741,closed,1780500600000,triangle-trend-zones-v1,descending,5.045370729240862
BTC,15m,short,1780589700000,63596.186,0.006069539351949214,64468.0,61951.0,1780640100000,61981.97549999999,9.416413355594825,1.7795325829248105,closed,1780588800000,triangle-trend-zones-v1,ascending,5.092343516285391
BTC,15m,short,1780659900000,62048.96000000001,0.004366546799544066,63258.0,59727.0,1780684200000,59756.8635,9.742611221936308,1.8454257826457507,closed,1780659000000,triangle-trend-zones-v1,descending,5.139425583063366
BTC,15m,short,1780702200000,60886.54150000001,0.004808284188297541,61998.0,58761.0,1780809300000,62028.998999999996,-5.788766757992986,-1.083185085408044,closed,1780701300000,triangle-trend-zones-v1,symmetrical,5.188138639173047
BTC,15m,long,1781387100000,64577.2725,0.008228380869829478,63917.0,65798.0,1781447400000,63885.04150000001,-6.224458741408681,-1.1456817556387606,closed,1781386200000,triangle-trend-zones-v1,descending,5.159194805383082
BTC,15m,long,1781599500000,66628.2975,0.015262120570464402,66259.0,67267.0,1781614800000,66225.8705,-7.155707559962584,-1.2695836933637388,closed,1781598600000,triangle-trend-zones-v1,ascending,5.128072511676039
BTC,15m,long,1782128700000,64631.299499999994,0.009142359019526439,64042.0,65713.0,1782166500000,64009.97900000001,-6.268377453580502,-1.1634850178050284,closed,1782127800000,triangle-trend-zones-v1,ascending,5.0922939738762265
BTC,15m,short,1782480600000,58845.5625,0.004580047137202102,59979.0,56664.0,1782481500000,60008.989499999996,-5.600730226009132,-1.078889904383785,closed,1782479700000,triangle-trend-zones-v1,symmetrical,5.0609520866083235
BTC,15m,short,1782824400000,58343.813500000004,0.004905407831850174,59400.0,56322.0,1782881100000,59429.7,-5.615579699354048,-1.0838741611921734,closed,1782823500000,triangle-trend-zones-v1,descending,5.0329484354782785
